Nombre,Dirección,Documento,Fecha Alta,Correo Electrónico,Empresa
Esther Pol Castejón,Plaza Alejandra Palau 50,76247267,2016-07-03,codinagabriel@cespedes.org,Ministerio de Desarrollo CABA
Jose Manuel del Antón,Vial de Raquel Montalbán 58,39822183,2015-12-22,jose-carlosbaez@carreras-roma.com,Ministerio de Desarrollo CABA
Catalina Garay Canet,Alameda Gregorio Vigil 7,57325794,2013-02-14,verducristian@cervantes.com,Ministerio de Desarrollo CABA
Victor Carlos Alemany,Pasadizo de Nieves Linares 18 Piso 8,18686591,2010-06-12,eibarra@hoz.com,Ministerio de Desarrollo CABA
Eva Irene Luque Amigó,Pasaje de Josep Casanovas 96 Puerta 7,58384985,2019-02-28,wmillan@diego.org,Ministerio de Desarrollo CABA
Jose Luis Cañellas Fortuny,Pasaje Raquel Casanovas 131,34724526,2011-01-19,barrenasantiago@tirado-batlle.org,Ministerio de Desarrollo CABA
Magdalena Acevedo Benavent,Pasadizo Luz Moraleda 365,10842252,2012-08-17,raquelortega@murcia-mate.com,Ministerio de Desarrollo CABA
Mireia Armas Marti,Paseo Esther Domingo 49,86279435,2017-11-26,nerea42@pino.info,Ministerio de Desarrollo CABA
Carolina de Arranz,C. David Ramón 24 Apt. 55,52192761,2014-06-11,juriarte@lorenzo-mugica.info,Ministerio de Desarrollo CABA
Belen Prada Salinas,Acceso de Hector Ríos 685,29181159,2010-10-02,xbusquets@roldan.com,Ministerio de Desarrollo CABA
Manuela Fonseca Ferrández,Camino de Salvador Toro 72,83480408,2011-10-16,zapatafelipe@lobato.info,Ministerio de Desarrollo CABA
Lorenzo Cuevas Pareja,Ronda Mohamed Fortuny 5,34453342,2016-06-25,portapaula@agullo.net,Ministerio de Desarrollo CABA
Laura Aliaga Abril,Pasadizo Ismael Galván 7,98096394,2018-07-09,ivancanas@cervantes.com,Ministerio de Desarrollo CABA
Alvaro Barceló,Via Jorge Francisco 7,45284162,2017-02-01,felipebru@gisbert.biz,Ministerio de Desarrollo CABA
Cesar Cortes Cárdenas,Ronda de Alberto Bernal 34,23527442,2019-08-02,raquel43@vigil-oliveras.com,Ministerio de Desarrollo CABA
Ruben Novoa,C. de Andrea Ribes 30,10136274,2018-12-12,ntello@rodriguez.com,BYMA
Jose Francisco Ojeda Manso,Glorieta Gloria Gallo 665 Piso 3,60612051,2016-03-10,sergioarnau@ibanez-carbonell.net,BYMA
Jose Maria Bayón Collado,Pasadizo de Victor Manuel Cerro 29 Apt. 24,40223491,2018-03-04,pilarpineiro@villegas.com,BYMA
Francisco Nicolás Herrero Jaume,Glorieta de Xavier Plaza 67,44037768,2010-06-10,cesar84@noguera-roda.biz,BYMA
Lucía Vega Vilaplana,Ronda de Gonzalo Guijarro 78 Piso 5,69918897,2015-12-28,aguilojuan-antonio@gaya.biz,BYMA
Gloria Tamayo-Arroyo,Vial Miguel Pagès 30 Piso 7,73344985,2012-09-07,dborrego@marcos.com,BYMA
Catalina Ferrera-Bou,Pasadizo de Laura Montero 93,64035680,2016-09-14,zmarin@barragan.com,BYMA
Vicenta del Agustí,Camino Jose Angel Gimenez 60 Puerta 5,17254059,2017-04-26,josepcarrillo@gordillo.com,BYMA
Concepción Pina Real,Cuesta de Samuel Tejera 670,29913407,2012-02-16,llopisamparo@mulet-ferran.com,BYMA
Alejandro Páez Arnau,Plaza Margarita Sevillano 41 Puerta 2,90020229,2014-03-13,morantetomas@carrasco.org,BYMA
Victor Vargas Costa,Cuesta de Yolanda Tudela 532 Apt. 59,60511076,2012-05-21,nadalsantiago@lucas.net,BYMA
Lourdes Castrillo Barco,Urbanización de Olga Seguí 94,81803097,2016-04-30,figlesia@frutos.com,BYMA
Rodrigo Alcántara Lamas,Avenida Ivan Arteaga 157 Apt. 13,47935841,2012-07-30,ocuevas@garate.com,BYMA
Nerea Garriga-Cornejo,Pasaje de María Pujol 29 Puerta 9,43615609,2013-10-30,joaquin61@castrillo.com,BYMA
Fernando Lopez Iriarte,C. Alfonso Rincón 789 Piso 2,25388575,2011-09-26,idominguez@hoyos-jover.com,BYMA
Gema del Rius,Pasaje Daniel Moliner 70,20831125,2012-11-15,andrea56@monreal.info,BYMA
Pedro Pedraza Macías,Acceso de Luis Miguel Trillo 75,15271222,2010-10-20,luisgrande@andreu.com,BYMA
Belen de Royo,Urbanización de Luz Vara 619 Piso 8,31451480,2011-07-10,sanjuanbelen@borja-tomas.com,BYMA
Gloria Garmendia Royo,Ronda Samuel Robles 17,27810740,2019-06-15,corominaseva@alcolea.com,BYMA
Nieves de Lorenzo,Via Gabriel Juárez 1,16961621,2016-05-13,cozarraul@viana.com,BYMA
Lucía Simó Gutiérrez,Cuesta de Blanca Roda 8 Apt. 97,36682395,2010-02-16,klinares@cerdan-tamayo.com,BYMA
Mónica Badía Gabaldón,Via Rocio Lopez 28 Apt. 25,75937787,2018-03-29,juan-luisberrocal@frias.com,BYMA
Luís Marqués-Cerdá,Urbanización Martin Solsona 98 Puerta 1,21954511,2018-11-19,belen34@pomares.info,BYMA
Ivan Olmo Quevedo,Avenida de Noelia Infante 27,71297415,2011-06-29,sergio96@menendez.com,BYMA
Jaime Farré Serna,Glorieta de Ismael Marin 724,44997293,2016-03-01,emiliagimenez@vaquero-escalona.com,BYMA
Felix Taboada Gisbert,Ronda de Anna Pedrosa 14 Puerta 1,53335983,2019-08-25,upavon@zaragoza-aguilar.biz,BYMA
Raul Rosado Báez,Plaza Óscar Dávila 35,55514267,2016-07-30,azapata@ochoa.com,BYMA
Pedro de Duran,Calle de Raul Zabala 94 Apt. 72,18310647,2017-11-11,salinasaurora@abella.com,BYMA
Samuel de Valverde,Pasaje de Ines Ferrando 52 Piso 5,17790678,2010-10-16,ralcazar@melero.com,Madre Agencia
Jose Maria Querol-Barriga,Pasadizo de Adriana Barriga 934 Piso 6,19794626,2019-07-15,batallavictoria@uribe.info,Madre Agencia
Esther Mar Hurtado Reig,C. Rocio Lozano 5,44898385,2014-12-05,trinidaduribe@torralba.info,Madre Agencia
Raquel Olivé Amo,Cañada de Santiago Crespo 960,37683235,2012-08-31,clago@canales.com,Madre Agencia
Juan Carlos Hernández Riera,Pasaje Manuel Hernández 8,20644871,2015-11-19,eduardoropero@alamo-colom.net,Madre Agencia
Jordi Castrillo Casal,Ronda Verónica Lobo 52 Puerta 3,22421633,2011-07-19,oliverajose@olmo-escobar.com,Madre Agencia
Gloria Arrieta Samper,Ronda Eva Conesa 92,77320909,2014-01-26,jesusporta@solsona-reguera.com,Madre Agencia
Nicolás Santamaría Román,Alameda de Santiago Andres 58,20937962,2017-04-08,bruluis-miguel@arce-cabanillas.biz,Madre Agencia
Miguel �ngel Valbuena Aznar,Paseo Julio Jimenez24,30931091,2012-07-22,adanfatima@alberto.com,Madre Agencia
Pedro Larrea Morera,Rambla de Jose Francisco Cervantes 97,78688516,2016-09-11,pedrobalaguer@villegas.com,Madre Agencia
Dolores Montesinos-Vaquero,Pasaje de Anna Amo 91,10663959,2015-10-22,ytaboada@porras.com,Madre Agencia
Cesar Carro,Via de Salvador Codina 31 Apt. 54,44574240,2014-04-08,hector48@varela-madrigal.com,Madre Agencia
Elena Redondo-Infante,Pasadizo Martin Bustos 19,96117915,2012-06-21,cortesnuria@flores-cerezo.com,Madre Agencia
Purificación Fuertes Polo,Avenida Hector Serra 556,88747305,2012-12-19,dvalero@valdes.com,Madre Agencia
Pablo Sebastian Vicens Paniagua,Pasadizo Joan Roldán 8 Piso 2,56356170,2014-08-08,usolis@velazquez-anton.net,Madre Agencia
Juan Luis Crespo Montaña,Acceso de Alejandro Peña 96 Apt. 90,94766989,2016-05-01,gema91@pineiro-olive.com,Madre Agencia
Ignacio Pedrosa Moreno,Pasaje de Carla Jódar 936,49743291,2010-03-11,francisco-javier29@cabrero.biz,Madre Agencia
Mercedes Berenguer Mesa,Alameda David Conde 60,64623365,2011-06-16,lopezconcepcion@rebollo-heras.info,Madre Agencia
Matias Pi�a,Mahatma Gandhi 302,36157481,2017-06-17,matias92pina@gmail.com,Red Link S.A
